MUNICIPALITY,YEAR,FARM TYPE,CROP,MONTH,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha),Rain Value (mm)
TUBA,2016,RAINFED,CAULIFLOWER,FEB,5,5.0,55,11.0,49.9
TUBA,2016,RAINFED,CAULIFLOWER,MAR,5,5.0,55,11.0,47.0
TUBA,2016,RAINFED,CAULIFLOWER,APR,5,5.0,55,11.0,88.1
TUBA,2016,RAINFED,CAULIFLOWER,MAY,5,5.0,55,11.0,325.6
TUBA,2016,RAINFED,CAULIFLOWER,JUN,5,5.0,55,11.0,404.4
TUBA,2016,RAINFED,CAULIFLOWER,JUL,5,5.0,55,11.0,614.8
TUBA,2016,RAINFED,CAULIFLOWER,AUG,5,5.0,55,11.0,626.4
TUBA,2016,RAINFED,CAULIFLOWER,SEP,5,5.0,55,11.0,378.3
TUBA,2016,RAINFED,CAULIFLOWER,OCT,5,5.0,55,11.0,543.1
TUBA,2016,RAINFED,CAULIFLOWER,NOV,5,5.0,55,11.0,97.5
TUBA,2016,RAINFED,CAULIFLOWER,DEC,5,5.0,55,11.0,149.4
TUBA,2016,RAINFED,BROCCOLI,JAN,5,5.0,55,11.0,22.8
TUBA,2016,RAINFED,BROCCOLI,FEB,5,5.0,55,11.0,49.9
TUBA,2016,RAINFED,BROCCOLI,MAR,5,5.0,55,11.0,47.0
TUBA,2016,RAINFED,BROCCOLI,APR,5,5.0,55,11.0,88.1
TUBA,2016,RAINFED,BROCCOLI,MAY,5,5.0,55,11.0,325.6
TUBA,2016,RAINFED,BROCCOLI,JUN,5,5.0,55,11.0,404.4
TUBA,2016,RAINFED,BROCCOLI,JUL,5,5.0,55,11.0,614.8
TUBA,2016,RAINFED,BROCCOLI,AUG,5,5.0,55,11.0,626.4
TUBA,2016,RAINFED,BROCCOLI,SEP,5,5.0,55,11.0,378.3
TUBA,2016,RAINFED,BROCCOLI,OCT,5,5.0,55,11.0,543.1
TUBA,2016,RAINFED,BROCCOLI,NOV,5,5.0,55,11.0,97.5
TUBA,2016,RAINFED,BROCCOLI,DEC,5,5.0,55,11.0,149.4
TUBA,2016,RAINFED,SNAP BEANS,JAN,5,5.0,55,11.0,22.8
TUBA,2016,RAINFED,SNAP BEANS,FEB,5,5.0,55,11.0,49.9
TUBA,2016,RAINFED,SNAP BEANS,MAR,5,5.0,55,11.0,47.0
TUBA,2016,RAINFED,SNAP BEANS,APR,17.33,5.0,55,11.0,88.1
TUBA,2016,RAINFED,SNAP BEANS,MAY,17.33,5.0,55,11.0,325.6
TUBA,2016,RAINFED,SNAP BEANS,JUN,17.33,17.33,207,11.94,404.4
TUBA,2016,RAINFED,SNAP BEANS,JUL,5,17.33,207,11.94,614.8
TUBA,2016,RAINFED,SNAP BEANS,AUG,5,17.33,207,11.94,626.4
TUBA,2016,RAINFED,SNAP BEANS,SEP,5,5.0,55,11.0,378.3
TUBA,2016,RAINFED,SNAP BEANS,OCT,5,5.0,55,11.0,543.1
TUBA,2016,RAINFED,SNAP BEANS,NOV,5,5.0,55,11.0,97.5
TUBA,2016,RAINFED,SNAP BEANS,DEC,5,5.0,55,11.0,149.4
TUBA,2016,RAINFED,GARDEN PEAS,JAN,5,5.0,55,11.0,22.8
TUBA,2016,RAINFED,GARDEN PEAS,FEB,5,5.0,55,11.0,49.9
TUBA,2016,RAINFED,GARDEN PEAS,MAR,5,5.0,55,11.0,47.0
TUBA,2016,RAINFED,GARDEN PEAS,APR,5,5.0,55,11.0,88.1
TUBA,2016,RAINFED,GARDEN PEAS,MAY,5,5.0,55,11.0,325.6
TUBA,2016,RAINFED,GARDEN PEAS,JUN,5,5.0,55,11.0,404.4
TUBA,2016,RAINFED,GARDEN PEAS,JUL,5,5.0,55,11.0,614.8
TUBA,2016,RAINFED,GARDEN PEAS,AUG,5,5.0,55,11.0,626.4
TUBA,2016,RAINFED,GARDEN PEAS,SEP,5,5.0,55,11.0,378.3
TUBA,2016,RAINFED,GARDEN PEAS,OCT,5,5.0,55,11.0,543.1
TUBA,2016,RAINFED,GARDEN PEAS,NOV,5,5.0,55,11.0,97.5
TUBA,2016,RAINFED,GARDEN PEAS,DEC,5,5.0,55,11.0,149.4
TUBA,2016,RAINFED,SWEET PEPPER,JAN,5,5.0,55,11.0,22.8
TUBA,2016,RAINFED,SWEET PEPPER,FEB,5,5.0,55,11.0,49.9
TUBA,2016,RAINFED,SWEET PEPPER,MAR,5,5.0,55,11.0,47.0
TUBA,2016,RAINFED,SWEET PEPPER,APR,5,5.0,55,11.0,88.1
TUBA,2016,RAINFED,SWEET PEPPER,MAY,5,5.0,55,11.0,325.6
TUBA,2016,RAINFED,SWEET PEPPER,JUN,5,5.0,55,11.0,404.4
TUBA,2016,RAINFED,SWEET PEPPER,JUL,5,5.0,55,11.0,614.8
TUBA,2016,RAINFED,SWEET PEPPER,AUG,5,5.0,55,11.0,626.4
TUBA,2016,RAINFED,SWEET PEPPER,SEP,5,5.0,55,11.0,378.3
TUBA,2016,RAINFED,SWEET PEPPER,OCT,5,5.0,55,11.0,543.1
TUBA,2016,RAINFED,SWEET PEPPER,NOV,5,5.0,55,11.0,97.5
TUBA,2016,RAINFED,SWEET PEPPER,DEC,5,5.0,55,11.0,149.4
TUBA,2016,RAINFED,WHITE POTATO,JAN,5,5.0,55,11.0,22.8
TUBA,2016,RAINFED,WHITE POTATO,FEB,5,5.0,55,11.0,49.9
TUBA,2016,RAINFED,WHITE POTATO,MAR,5,5.0,55,11.0,47.0
TUBA,2016,RAINFED,WHITE POTATO,APR,6,5.0,55,11.0,88.1
TUBA,2016,RAINFED,WHITE POTATO,MAY,6,5.0,55,11.0,325.6
TUBA,2016,RAINFED,WHITE POTATO,JUN,6,6.0,72,12.0,404.4
TUBA,2016,RAINFED,WHITE POTATO,JUL,5,6.0,72,12.0,614.8
TUBA,2016,RAINFED,WHITE POTATO,AUG,5,6.0,72,12.0,626.4
TUBA,2016,RAINFED,WHITE POTATO,SEP,5,5.0,55,11.0,378.3
TUBA,2016,RAINFED,WHITE POTATO,OCT,5,5.0,55,11.0,543.1
TUBA,2016,RAINFED,WHITE POTATO,NOV,5,5.0,55,11.0,97.5
TUBA,2016,RAINFED,WHITE POTATO,DEC,5,5.0,55,11.0,149.4
TUBA,2016,RAINFED,CARROTS,JAN,5,5.0,55,11.0,22.8
TUBA,2016,RAINFED,CARROTS,FEB,5,5.0,55,11.0,49.9
TUBA,2016,RAINFED,CARROTS,MAR,5,5.0,55,11.0,47.0
TUBA,2016,RAINFED,CARROTS,APR,3.33,5.0,55,11.0,88.1
TUBA,2016,RAINFED,CARROTS,MAY,3.33,5.0,55,11.0,325.6
TUBA,2016,RAINFED,CARROTS,JUN,3.33,3.33,39.96,12.0,404.4
TUBA,2016,RAINFED,CARROTS,JUL,5,3.33,39.96,12.0,614.8
TUBA,2016,RAINFED,CARROTS,AUG,5,3.33,39.96,12.0,626.4
TUBA,2016,RAINFED,CARROTS,SEP,5,5.0,55,11.0,378.3
TUBA,2016,RAINFED,CARROTS,OCT,5,5.0,55,11.0,543.1
TUBA,2016,RAINFED,CARROTS,NOV,5,5.0,55,11.0,97.5
TUBA,2016,RAINFED,CARROTS,DEC,5,5.0,55,11.0,149.4
TUBLAY,2016,IRRIGATED,CABBAGE,JAN,0.25,1.8,25.2,14.0,22.8
TUBLAY,2016,IRRIGATED,CABBAGE,FEB,1.5,0.8,9.6,12.0,49.9
TUBLAY,2016,IRRIGATED,CABBAGE,MAR,0.5,0.25,2.5,10.0,47.0
TUBLAY,2016,IRRIGATED,CABBAGE,APR,5,1.5,12,8.0,88.1
TUBLAY,2016,IRRIGATED,CABBAGE,MAY,5,0.5,5,10.0,325.6
TUBLAY,2016,IRRIGATED,CABBAGE,JUN,5,5.0,55,11.0,404.4
TUBLAY,2016,IRRIGATED,CABBAGE,JUL,0.35,5.0,55,11.0,614.8
TUBLAY,2016,IRRIGATED,CABBAGE,AUG,0.5,5.0,55,11.0,626.4
TUBLAY,2016,IRRIGATED,CABBAGE,SEP,0.75,0.35,3.33,9.51,378.3
TUBLAY,2016,IRRIGATED,CABBAGE,OCT,0.9,0.5,4.38,8.76,543.1
TUBLAY,2016,IRRIGATED,CABBAGE,NOV,5,0.75,6.75,9.0,97.5
TUBLAY,2016,IRRIGATED,CABBAGE,DEC,5,5.0,55,11.0,149.4
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,JAN,2,0.8,9.6,12.0,22.8
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,FEB,1.55,0.5,6,12.0,49.9
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,MAR,0.5,2.0,20,10.0,47.0
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,APR,0.5,1.55,12.4,8.0,88.1
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,MAY,5,0.5,4,8.0,325.6
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,JUN,5,0.5,4,8.0,404.4
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,JUL,0.75,5.0,55,11.0,614.8
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,AUG,1.55,5.0,55,11.0,626.4
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,SEP,2.5,0.75,6.38,8.51,378.3
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,OCT,3.15,1.55,9.3,6.0,543.1
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,NOV,0.75,2.5,22.5,9.0,97.5
TUBLAY,2016,IRRIGATED,CHINESE CABBAGE,DEC,0.65,3.15,34.65,11.0,149.4
TUBLAY,2016,IRRIGATED,LETTUCE,JAN,4.25,0.35,3.5,10.0,22.8
TUBLAY,2016,IRRIGATED,LETTUCE,FEB,3.15,1.5,12,8.0,49.9
TUBLAY,2016,IRRIGATED,LETTUCE,MAR,1.5,4.25,31.88,7.5,47.0
TUBLAY,2016,IRRIGATED,LETTUCE,APR,0.7,3.15,23.63,7.5,88.1
TUBLAY,2016,IRRIGATED,LETTUCE,MAY,0.5,1.5,12,8.0,325.6
TUBLAY,2016,IRRIGATED,LETTUCE,JUN,0.5,0.7,5.6,8.0,404.4
TUBLAY,2016,IRRIGATED,LETTUCE,JUL,0.75,0.5,4,8.0,614.8
TUBLAY,2016,IRRIGATED,LETTUCE,AUG,1.25,0.5,3.5,7.0,626.4
TUBLAY,2016,IRRIGATED,LETTUCE,SEP,3.75,0.75,6,8.0,378.3
TUBLAY,2016,IRRIGATED,LETTUCE,OCT,4.55,1.25,6.44,5.15,543.1
TUBLAY,2016,IRRIGATED,LETTUCE,NOV,1.15,3.75,26.25,7.0,97.5
TUBLAY,2016,IRRIGATED,LETTUCE,DEC,0.75,4.55,45.5,10.0,149.4
TUBLAY,2016,IRRIGATED,CAULIFLOWER,JAN,1.5,0.8,8,10.0,22.8
TUBLAY,2016,IRRIGATED,CAULIFLOWER,FEB,3.25,1.2,12,10.0,49.9
TUBLAY,2016,IRRIGATED,CAULIFLOWER,MAR,0.5,1.5,13.5,9.0,47.0
TUBLAY,2016,IRRIGATED,CAULIFLOWER,APR,0.5,3.25,29.5,9.08,88.1
TUBLAY,2016,IRRIGATED,CAULIFLOWER,MAY,5,0.5,4.5,9.0,325.6
TUBLAY,2016,IRRIGATED,CAULIFLOWER,JUN,5,0.5,4,8.0,404.4
TUBLAY,2016,IRRIGATED,CAULIFLOWER,JUL,0.55,5.0,55,11.0,614.8
TUBLAY,2016,IRRIGATED,CAULIFLOWER,AUG,0.75,5.0,55,11.0,626.4
TUBLAY,2016,IRRIGATED,CAULIFLOWER,SEP,1.25,0.55,4.13,7.51,378.3
TUBLAY,2016,IRRIGATED,CAULIFLOWER,OCT,3.15,0.75,4.28,5.71,543.1
TUBLAY,2016,IRRIGATED,CAULIFLOWER,NOV,1.55,1.25,10.63,8.5,97.5
TUBLAY,2016,IRRIGATED,CAULIFLOWER,DEC,1.55,3.15,28.35,9.0,149.4
TUBLAY,2016,IRRIGATED,BROCCOLI,JAN,5,1.0,10,10.0,22.8
TUBLAY,2016,IRRIGATED,BROCCOLI,FEB,8,3.5,35,10.0,49.9
TUBLAY,2016,IRRIGATED,BROCCOLI,MAR,2.5,5.0,45,9.0,47.0
TUBLAY,2016,IRRIGATED,BROCCOLI,APR,2,8.0,64,8.0,88.1
TUBLAY,2016,IRRIGATED,BROCCOLI,MAY,1,2.5,20,8.0,325.6
TUBLAY,2016,IRRIGATED,BROCCOLI,JUN,0.5,2.0,16,8.0,404.4
TUBLAY,2016,IRRIGATED,BROCCOLI,JUL,0.25,1.0,8.5,8.5,614.8
TUBLAY,2016,IRRIGATED,BROCCOLI,AUG,0.8,0.5,4,8.0,626.4
TUBLAY,2016,IRRIGATED,BROCCOLI,SEP,3.5,0.25,2,8.0,378.3
TUBLAY,2016,IRRIGATED,BROCCOLI,OCT,7.35,0.8,4.92,6.15,543.1
TUBLAY,2016,IRRIGATED,BROCCOLI,NOV,5.25,3.5,29.75,8.5,97.5
TUBLAY,2016,IRRIGATED,BROCCOLI,DEC,5.15,7.35,70.19,9.55,149.4
TUBLAY,2016,IRRIGATED,SNAP BEANS,JAN,1.15,7.5,60,8.0,22.8
TUBLAY,2016,IRRIGATED,SNAP BEANS,FEB,3.75,5.5,44,8.0,49.9
TUBLAY,2016,IRRIGATED,SNAP BEANS,MAR,4.5,1.15,9.2,8.0,47.0
TUBLAY,2016,IRRIGATED,SNAP BEANS,APR,2.5,3.75,30,8.0,88.1
TUBLAY,2016,IRRIGATED,SNAP BEANS,MAY,0.5,4.5,36,8.0,325.6
TUBLAY,2016,IRRIGATED,SNAP BEANS,JUN,5,2.5,20,8.0,404.4
TUBLAY,2016,IRRIGATED,SNAP BEANS,JUL,0.5,0.5,3.28,6.56,614.8
TUBLAY,2016,IRRIGATED,SNAP BEANS,AUG,2.55,5.0,55,11.0,626.4
TUBLAY,2016,IRRIGATED,SNAP BEANS,SEP,5.35,0.5,3.38,6.76,378.3
TUBLAY,2016,IRRIGATED,SNAP BEANS,OCT,7.55,2.55,12.75,5.0,543.1
TUBLAY,2016,IRRIGATED,SNAP BEANS,NOV,2.5,5.35,37.45,7.0,97.5
TUBLAY,2016,IRRIGATED,SNAP BEANS,DEC,0.15,7.55,60.4,8.0,149.4
TUBLAY,2016,IRRIGATED,GARDEN PEAS,JAN,1.5,5.0,55,11.0,22.8
TUBLAY,2016,IRRIGATED,GARDEN PEAS,FEB,3.5,5.0,55,11.0,49.9
TUBLAY,2016,IRRIGATED,GARDEN PEAS,MAR,1.25,1.5,6,4.0,47.0
TUBLAY,2016,IRRIGATED,GARDEN PEAS,APR,0.5,3.5,14,4.0,88.1
TUBLAY,2016,IRRIGATED,GARDEN PEAS,MAY,5,1.25,5,4.0,325.6
TUBLAY,2016,IRRIGATED,GARDEN PEAS,JUN,5,0.5,1.75,3.5,404.4
TUBLAY,2016,IRRIGATED,GARDEN PEAS,JUL,5,5.0,55,11.0,614.8
TUBLAY,2016,IRRIGATED,GARDEN PEAS,AUG,5,5.0,55,11.0,626.4
TUBLAY,2016,IRRIGATED,GARDEN PEAS,SEP,0.5,5.0,55,11.0,378.3
TUBLAY,2016,IRRIGATED,GARDEN PEAS,OCT,4.5,5.0,55,11.0,543.1
TUBLAY,2016,IRRIGATED,GARDEN PEAS,NOV,3.5,5.0,55,11.0,97.5
TUBLAY,2016,IRRIGATED,GARDEN PEAS,DEC,7.15,4.5,18,4.0,149.4
TUBLAY,2016,IRRIGATED,SWEET PEPPER,JAN,5,1.15,9.2,8.0,22.8
TUBLAY,2016,IRRIGATED,SWEET PEPPER,FEB,25,3.5,28,8.0,49.9
TUBLAY,2016,IRRIGATED,SWEET PEPPER,MAR,7.5,5.0,40,8.0,47.0
TUBLAY,2016,IRRIGATED,SWEET PEPPER,APR,5,25.0,200,8.0,88.1
TUBLAY,2016,IRRIGATED,SWEET PEPPER,MAY,2.5,7.5,60,8.0,325.6
TUBLAY,2016,IRRIGATED,SWEET PEPPER,JUN,5,5.0,37.5,7.5,404.4
TUBLAY,2016,IRRIGATED,SWEET PEPPER,JUL,1.15,2.5,21.25,8.5,614.8
TUBLAY,2016,IRRIGATED,SWEET PEPPER,AUG,4.15,5.0,55,11.0,626.4
TUBLAY,2016,IRRIGATED,SWEET PEPPER,SEP,7.15,1.15,9.2,8.0,378.3
TUBLAY,2016,IRRIGATED,SWEET PEPPER,OCT,15.75,4.15,21.17,5.1,543.1
TUBLAY,2016,IRRIGATED,SWEET PEPPER,NOV,5.15,7.15,55.41,7.75,97.5
TUBLAY,2016,IRRIGATED,SWEET PEPPER,DEC,3.15,15.7,125.6,8.0,149.4
TUBLAY,2016,IRRIGATED,WHITE POTATO,JAN,0.5,5.0,55,11.0,22.8
TUBLAY,2016,IRRIGATED,WHITE POTATO,FEB,1.15,0.5,6,12.0,49.9
TUBLAY,2016,IRRIGATED,WHITE POTATO,MAR,0.75,0.5,6,12.0,47.0
TUBLAY,2016,IRRIGATED,WHITE POTATO,APR,0.25,1.15,11.5,10.0,88.1
TUBLAY,2016,IRRIGATED,WHITE POTATO,MAY,0.15,0.75,9,12.0,325.6
TUBLAY,2016,IRRIGATED,WHITE POTATO,JUN,5,0.25,2.5,10.0,404.4
TUBLAY,2016,IRRIGATED,WHITE POTATO,JUL,0.35,0.15,1.5,10.0,614.8
TUBLAY,2016,IRRIGATED,WHITE POTATO,AUG,0.55,5.0,55,11.0,626.4
TUBLAY,2016,IRRIGATED,WHITE POTATO,SEP,0.75,0.35,3.33,9.51,378.3
TUBLAY,2016,IRRIGATED,WHITE POTATO,OCT,0.5,0.55,4.95,9.0,543.1
TUBLAY,2016,IRRIGATED,WHITE POTATO,NOV,0.15,0.75,7.16,9.55,97.5
TUBLAY,2016,IRRIGATED,WHITE POTATO,DEC,0.05,0.5,5.5,11.0,149.4
TUBLAY,2016,IRRIGATED,CARROTS,JAN,0.15,0.15,1.8,12.0,22.8
TUBLAY,2016,IRRIGATED,CARROTS,FEB,0.75,0.25,3,12.0,49.9
TUBLAY,2016,IRRIGATED,CARROTS,MAR,0.5,0.15,1.5,10.0,47.0
TUBLAY,2016,IRRIGATED,CARROTS,APR,0.15,0.75,7.5,10.0,88.1
TUBLAY,2016,IRRIGATED,CARROTS,MAY,0.1,0.5,5,10.0,325.6
TUBLAY,2016,IRRIGATED,CARROTS,JUN,5,0.15,1.35,9.0,404.4
TUBLAY,2016,IRRIGATED,CARROTS,JUL,0.25,0.1,1,10.0,614.8
TUBLAY,2016,IRRIGATED,CARROTS,AUG,0.75,5.0,55,11.0,626.4
TUBLAY,2016,IRRIGATED,CARROTS,SEP,0.75,0.25,2,8.0,378.3
TUBLAY,2016,IRRIGATED,CARROTS,OCT,1.15,0.75,4.61,6.15,543.1
TUBLAY,2016,IRRIGATED,CARROTS,NOV,0.2,0.75,6.41,8.55,97.5
TUBLAY,2016,IRRIGATED,CARROTS,DEC,5,1.15,12.65,11.0,149.4
TUBLAY,2016,RAINFED,CABBAGE,JAN,5,5.0,55,11.0,22.8
TUBLAY,2016,RAINFED,CABBAGE,FEB,5,5.0,55,11.0,49.9
TUBLAY,2016,RAINFED,CABBAGE,MAR,5,5.0,55,11.0,47.0
TUBLAY,2016,RAINFED,CABBAGE,APR,5,5.0,55,11.0,88.1
TUBLAY,2016,RAINFED,CABBAGE,MAY,5,5.0,55,11.0,325.6
TUBLAY,2016,RAINFED,CABBAGE,JUN,5,5.0,55,11.0,404.4
TUBLAY,2016,RAINFED,CABBAGE,JUL,5,5.0,55,11.0,614.8
TUBLAY,2016,RAINFED,CABBAGE,AUG,5,5.0,55,11.0,626.4
TUBLAY,2016,RAINFED,CABBAGE,SEP,3.15,5.0,55,11.0,378.3
TUBLAY,2016,RAINFED,CABBAGE,OCT,10,5.0,55,11.0,543.1
TUBLAY,2016,RAINFED,CABBAGE,NOV,5,3.15,25.2,8.0,97.5
TUBLAY,2016,RAINFED,CABBAGE,DEC,5,10.0,71.63,7.16,149.4
TUBLAY,2016,RAINFED,CHINESE CABBAGE,JAN,5,5.0,55,11.0,22.8
TUBLAY,2016,RAINFED,CHINESE CABBAGE,FEB,5,5.0,55,11.0,49.9
TUBLAY,2016,RAINFED,CHINESE CABBAGE,MAR,5,5.0,55,11.0,47.0
TUBLAY,2016,RAINFED,CHINESE CABBAGE,APR,5,5.0,55,11.0,88.1
TUBLAY,2016,RAINFED,CHINESE CABBAGE,MAY,5,5.0,55,11.0,325.6
TUBLAY,2016,RAINFED,CHINESE CABBAGE,JUN,5,5.0,55,11.0,404.4
TUBLAY,2016,RAINFED,CHINESE CABBAGE,JUL,5,5.0,55,11.0,614.8
TUBLAY,2016,RAINFED,CHINESE CABBAGE,AUG,5,5.0,55,11.0,626.4
TUBLAY,2016,RAINFED,CHINESE CABBAGE,SEP,2.35,5.0,55,11.0,378.3
TUBLAY,2016,RAINFED,CHINESE CABBAGE,OCT,5.75,5.0,55,11.0,543.1
TUBLAY,2016,RAINFED,CHINESE CABBAGE,NOV,5,2.35,11.75,5.0,97.5
TUBLAY,2016,RAINFED,CHINESE CABBAGE,DEC,5,5.75,27.31,4.75,149.4
TUBLAY,2016,RAINFED,LETTUCE,JAN,5,5.0,55,11.0,22.8
TUBLAY,2016,RAINFED,LETTUCE,FEB,5,5.0,55,11.0,49.9
TUBLAY,2016,RAINFED,LETTUCE,MAR,5,5.0,55,11.0,47.0
TUBLAY,2016,RAINFED,LETTUCE,APR,5,5.0,55,11.0,88.1
TUBLAY,2016,RAINFED,LETTUCE,MAY,5,5.0,55,11.0,325.6
TUBLAY,2016,RAINFED,LETTUCE,JUN,5,5.0,55,11.0,404.4
TUBLAY,2016,RAINFED,LETTUCE,JUL,5,5.0,55,11.0,614.8
TUBLAY,2016,RAINFED,LETTUCE,AUG,5,5.0,55,11.0,626.4
TUBLAY,2016,RAINFED,LETTUCE,SEP,5,5.0,55,11.0,378.3
TUBLAY,2016,RAINFED,LETTUCE,OCT,0.15,5.0,55,11.0,543.1
TUBLAY,2016,RAINFED,LETTUCE,NOV,5,5.0,55,11.0,97.5
TUBLAY,2016,RAINFED,LETTUCE,DEC,5,0.15,0.62,4.13,149.4
TUBLAY,2016,RAINFED,CAULIFLOWER,JAN,5,5.0,55,11.0,22.8
TUBLAY,2016,RAINFED,CAULIFLOWER,FEB,5,5.0,55,11.0,49.9
TUBLAY,2016,RAINFED,CAULIFLOWER,MAR,5,5.0,55,11.0,47.0
TUBLAY,2016,RAINFED,CAULIFLOWER,APR,5,5.0,55,11.0,88.1
TUBLAY,2016,RAINFED,CAULIFLOWER,MAY,5,5.0,55,11.0,325.6
TUBLAY,2016,RAINFED,CAULIFLOWER,JUN,5,5.0,55,11.0,404.4
TUBLAY,2016,RAINFED,CAULIFLOWER,JUL,5,5.0,55,11.0,614.8
TUBLAY,2016,RAINFED,CAULIFLOWER,AUG,5,5.0,55,11.0,626.4
TUBLAY,2016,RAINFED,CAULIFLOWER,SEP,5,5.0,55,11.0,378.3
TUBLAY,2016,RAINFED,CAULIFLOWER,OCT,3.15,5.0,55,11.0,543.1
TUBLAY,2016,RAINFED,CAULIFLOWER,NOV,5,5.0,55,11.0,97.5
TUBLAY,2016,RAINFED,CAULIFLOWER,DEC,5,3.0,16.22,5.41,149.4
TUBLAY,2016,RAINFED,BROCCOLI,JAN,5,5.0,55,11.0,22.8
TUBLAY,2016,RAINFED,BROCCOLI,FEB,5,5.0,55,11.0,49.9
TUBLAY,2016,RAINFED,BROCCOLI,MAR,5,5.0,55,11.0,47.0
TUBLAY,2016,RAINFED,BROCCOLI,APR,5,5.0,55,11.0,88.1
TUBLAY,2016,RAINFED,BROCCOLI,MAY,5,5.0,55,11.0,325.6
TUBLAY,2016,RAINFED,BROCCOLI,JUN,5,5.0,55,11.0,404.4
TUBLAY,2016,RAINFED,BROCCOLI,JUL,5,5.0,55,11.0,614.8
TUBLAY,2016,RAINFED,BROCCOLI,AUG,5,5.0,55,11.0,626.4
TUBLAY,2016,RAINFED,BROCCOLI,SEP,5,5.0,55,11.0,378.3
TUBLAY,2016,RAINFED,BROCCOLI,OCT,0.5,5.0,55,11.0,543.1
TUBLAY,2016,RAINFED,BROCCOLI,NOV,5,5.0,55,11.0,97.5
TUBLAY,2016,RAINFED,BROCCOLI,DEC,5,0.5,2.6,5.2,149.4
TUBLAY,2016,RAINFED,SNAP BEANS,JAN,5,5.0,55,11.0,22.8
TUBLAY,2016,RAINFED,SNAP BEANS,FEB,5,5.0,55,11.0,49.9
TUBLAY,2016,RAINFED,SNAP BEANS,MAR,5,5.0,55,11.0,47.0
TUBLAY,2016,RAINFED,SNAP BEANS,APR,5,5.0,55,11.0,88.1
TUBLAY,2016,RAINFED,SNAP BEANS,MAY,5,5.0,55,11.0,325.6
TUBLAY,2016,RAINFED,SNAP BEANS,JUN,5,5.0,55,11.0,404.4
TUBLAY,2016,RAINFED,SNAP BEANS,JUL,5,5.0,55,11.0,614.8
TUBLAY,2016,RAINFED,SNAP BEANS,AUG,5,5.0,55,11.0,626.4
TUBLAY,2016,RAINFED,SNAP BEANS,SEP,15.55,5.0,55,11.0,378.3
TUBLAY,2016,RAINFED,SNAP BEANS,OCT,38.6,5.0,55,11.0,543.1
TUBLAY,2016,RAINFED,SNAP BEANS,NOV,5,15.55,77.75,5.0,97.5
TUBLAY,2016,RAINFED,SNAP BEANS,DEC,5,38.6,200,5.18,149.4
TUBLAY,2016,RAINFED,GARDEN PEAS,JAN,5,5.0,55,11.0,22.8
TUBLAY,2016,RAINFED,GARDEN PEAS,FEB,5,5.0,55,11.0,49.9
TUBLAY,2016,RAINFED,GARDEN PEAS,MAR,5,5.0,55,11.0,47.0
TUBLAY,2016,RAINFED,GARDEN PEAS,APR,5,5.0,55,11.0,88.1
TUBLAY,2016,RAINFED,GARDEN PEAS,MAY,5,5.0,55,11.0,325.6
TUBLAY,2016,RAINFED,GARDEN PEAS,JUN,5,5.0,55,11.0,404.4
TUBLAY,2016,RAINFED,GARDEN PEAS,JUL,5,5.0,55,11.0,614.8
TUBLAY,2016,RAINFED,GARDEN PEAS,AUG,5,5.0,55,11.0,626.4
TUBLAY,2016,RAINFED,GARDEN PEAS,SEP,5,5.0,55,11.0,378.3
TUBLAY,2016,RAINFED,GARDEN PEAS,OCT,5,5.0,55,11.0,543.1
TUBLAY,2016,RAINFED,GARDEN PEAS,NOV,5,5.0,55,11.0,97.5
TUBLAY,2016,RAINFED,GARDEN PEAS,DEC,5,5.0,55,11.0,149.4
TUBLAY,2016,RAINFED,SWEET PEPPER,JAN,5,5.0,55,11.0,22.8
TUBLAY,2016,RAINFED,SWEET PEPPER,FEB,5,5.0,55,11.0,49.9
TUBLAY,2016,RAINFED,SWEET PEPPER,MAR,5,5.0,55,11.0,47.0
TUBLAY,2016,RAINFED,SWEET PEPPER,APR,5,5.0,55,11.0,88.1
TUBLAY,2016,RAINFED,SWEET PEPPER,MAY,5,5.0,55,11.0,325.6
TUBLAY,2016,RAINFED,SWEET PEPPER,JUN,5,5.0,55,11.0,404.4
TUBLAY,2016,RAINFED,SWEET PEPPER,JUL,5,5.0,55,11.0,614.8
TUBLAY,2016,RAINFED,SWEET PEPPER,AUG,5,5.0,55,11.0,626.4
TUBLAY,2016,RAINFED,SWEET PEPPER,SEP,20.35,5.0,55,11.0,378.3
TUBLAY,2016,RAINFED,SWEET PEPPER,OCT,35,5.0,55,11.0,543.1
TUBLAY,2016,RAINFED,SWEET PEPPER,NOV,5,20.35,122.1,6.0,97.5
TUBLAY,2016,RAINFED,SWEET PEPPER,DEC,5,35.0,175,5.0,149.4
TUBLAY,2016,RAINFED,WHITE POTATO,JAN,5,5.0,55,11.0,22.8
